uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
2eac972d-9320-4570-b933-1435599d6885,,,Asthma health history,Asthme Historique de santé,Asthma,Asthme,,,Misc,Boolean,,,,,,,,,,,
a4a00e85-7def-4714-879c-9628046c8b64,,,Type 1 diabetes health history,Diabète de type 1 Historique de santé,Type 1 diabetes,Diabète de type 1,,,Misc,Boolean,,,,,,,,,,,
86f627cd-5b16-4b55-bb46-dbd06a0e50c3,,,Type 2 diabetes health history,Diabète de type 2 Historique de santé,Type 2 diabetes,Diabète de type 2,,,Misc,Boolean,,,,,,,,,,,
7bea424e-ffe5-4482-8a16-4e594eb1832d,,,Hypertension health history,Hypertension Historique de santé,Hypertension,Hypertension,,,Misc,Boolean,,,,,,,,,,,
e7ea5fff-0b4f-4f5e-8e47-ad9ea360589c,,,TB health history,TB Historique de santé,TB,TB,,,Misc,Boolean,,,,,,,,,,,
04705a3b-c4a7-4e14-a4cf-7278293afd83,,,VIH health history,VIH Historique de santé,VIH,VIH,,,Misc,Boolean,,,,,,,,,,,
683fe516-de46-42d5-909c-22c89b329a58,,,Syphilis health history,Syphilis Historique de santé,Syphilis,Syphilis,,,Misc,Boolean,,,,,,,,,,,
8f033c3d-e21a-4090-8150-dd82646bcb62,,,Sickle cell anemia,Anémie falciforme,Sickle cell anemia,Anémie falciforme,,,Misc,Boolean,,,,,,,,,,,
e605731b-2e81-41a9-8446-2ed442c339e2,,,Date,Date,Date,Date,,,Misc,Date,,,,,,,,,,,
bcc89455-13d6-44f5-ad2f-bad32c2dd7c6,,,Number of Days,Nombre de jours,Number of Days,Nombre de jours,,,Misc,Numeric,,,,,,,,,,,
c03b8aa5-9a97-4e05-b717-84e6b2380894,,,Reason,Raison,Reason,Raison,,,Misc,Text,,,,,,,,,,,
b0b1c920-02ba-47e7-93e5-9922e888aac0,,,Hopital Justinien Cap Haitien,Hopital Justinien Cap Haitien,Hopital Justinien Cap Haitien,Hopital Justinien Cap Haitien,,,Misc,N/A,,,,,,,,,,,
696114ce-8c7b-4018-a8d5-ee2e65d323d3,,,Hopital Sacré Coeur Milot,Hopital Sacré Coeur Milot,Hopital Sacré Coeur Milot,Hopital Sacré Coeur Milot,,,Misc,N/A,,,,,,,,,,,
50f4de56-b5b6-4939-aa73-7d7f5a5f8961,,,Hopital HBCH,Hopital HBCH,Hopital HBCH,Hopital HBCH,,,Misc,N/A,,,,,,,,,,,
4b9b9184-6aa8-4875-ab10-f22092a0075b,,,Hopital St Jean Limbe,Hopital St Jean Limbe,Hopital St Jean Limbe,Hopital St Jean Limbe,,,Misc,N/A,,,,,,,,,,,
1ff3db17-7a6f-40bf-8062-a912773e905c,,,Hopital Bon Samaritain Limbe,Hopital Bon Samaritain Limbe,Hopital Bon Samaritain Limbe,Hopital Bon Samaritain Limbe,,,Misc,N/A,,,,,,,,,,,
6d1450bb-0109-456b-82f9-e495bcb5c959,,,Hopital de Trou du Nord,Hopital de Trou du Nord,Hopital de Trou du Nord,Hopital de Trou du Nord,,,Misc,N/A,,,,,,,,,,,
57195bab-5935-4da4-b5de-e9ee1dba162e,,,Hopital de Pignon,Hopital de Pignon,Hopital de Pignon,Hopital de Pignon,,,Misc,N/A,,,,,,,,,,,
26c0366b-83e4-4401-9699-e545219b8870,,,Other Hospital,Autre Hopital,Other,Autre,,,Misc,N/A,,,,,,,,,,,
345e4897-ef95-4b67-a46a-27f995e9e5ed,,,Places,Lieux,Places,Lieux,,,Misc,Coded,,Hopital Justinien Cap Haitien;Hopital Sacré Coeur Milot;Hopital HBCH;Hopital St Jean Limbe;Hopital Bon Samaritain Limbe;Hopital de Trou du Nord;Hopital de Pignon;Other Hospital,,,,,,,,,
f891f12b-9947-4cc4-aa97-b6ba47567a58,,,Allergies health history,Allergies Historique de santé,Allergies,Allergies,,,Misc,Text,,,,,,,,,,,
61ac6631-a248-4dae-bd32-33520d26c04d,,,Tobacco use,Utilisation de tabac,Tobacco use,Utilisation de tabac,,,Misc,Boolean,,,,,,,,,,,
16a035ea-acf0-4e54-9c63-ffd126aaa3f7,,,Use of alcohol,Utilisation d'alcool,Use of alcohol,Utilisation d'alcool,,,Misc,Boolean,,,,,,,,,,,
7d2e95f9-1368-4ef9-b65e-224aba05e5d3,,,Drug use,Utilisation de drogues,Drug use,Utilisation de drogues,,,Misc,Boolean,,,,,,,,,,,
0d8b21b8-6ba3-8084-8549-12de0b095580,,,Health history form,Historique de santé form,Health history form,Historique de santé form,,,ConvSet,N/A,,,Asthma health history;Type 1 diabetes health history;Type 2 diabetes health history;Hypertension health history;TB health history;VIH health history;Syphilis health history;Sickle cell anemia;Date;Number of Days;Reason;Places;Allergies;Tobacco use;Use of alcohol;Drug use,,,,,,,,
