Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1100
120742AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A92.0,Chikungunya* (A92.0),Chikungunya* (A92.0),Chikungunya*,Chikungunya*,,,Diagnosis,N/A,,,,
3cce870e-26fe-102b-80cb-0017a47871b2,,ICD-10:A00.9,Cholera* (A00.9),Cholera* (A00.9),Cholera*,Cholera*,,,Diagnosis,N/A,,,,
3cd4e7e8-26fe-102b-80cb-0017a47871b2,,ICD-10:A37.9,Pertussis* (A37.9),Coqueluche* (A37.9),Pertussis*,Coqueluche*,,,Diagnosis,N/A,,,,
3cce0a90-26fe-102b-80cb-0017a47871b2,,ICD-10:G40.9,Epilepsy* (G40.9),Epilepsie* (G40.9),Epilepsy*,Epilepsie*,,,Diagnosis,N/A,,,,
123112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A99,Viral Hemorrhagic Fever* (A99),Fievre hemorragique aigue* (A99),Viral Hemorrhagic Fever*,Fievre hemorragique aigue*,,,Diagnosis,N/A,,,,
3ccca93e-26fe-102b-80cb-0017a47871b2,,ICD-10:A30.9,Leprosy* (A30.9),Lepre* (A30.9),Leprosy*,Lepre*,,,Diagnosis,N/A,,,,
3ccd0f0a-26fe-102b-80cb-0017a47871b2,,ICD-10:B54,Malaria* (B54),Paludisme (malaria)* (B54),Malaria*,Paludisme (malaria)*,,,Diagnosis,N/A,,,,
121255AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:G00.9,Bacterial meningitis* (G00.9),Meningite bacterienne* (G00.9),Bacterial meningitis*,Meningite bacterienne*,,,Diagnosis,N/A,,,,
3cccb082-26fe-102b-80cb-0017a47871b2,,ICD-10:B26.9,Mumps* (B26.9),Oreillons* (B26.9),Mumps*,Oreillons*,,,Diagnosis,N/A,,,,
7d437f17-2c29-435a-9d27-a7a0c9b31f9a,,ICD-10:G81.0,Acute flaccid paralysis* (G81.0),Paralysie flasque aigue* (G81.0),Acute flaccid paralysis*,Paralysie flasque aigue*,,,Diagnosis,N/A,,,,
14d11d8a-e179-4590-a35d-2eeef0eca5aa,,ICD-10:A82.9,Rabies* (A82.9),Rage* (A82.9),Rabies*,Rage*,,,Diagnosis,N/A,,,,
3cccaf06-26fe-102b-80cb-0017a47871b2,,ICD-10:B05.9,Measles* (B05.9),Rougeole* (B05.9),Measles*,Rougeole*,,,Diagnosis,N/A,,,,
113205AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:B06.9,Rubella* (B06.9),Rubeole* (B06.9),Rubella*,Rubeole*,,,Diagnosis,N/A,,,,
139479AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:P35.0,Congenital rubella syndrome* (P35.0),Syndrome de rubeole congenitale* (P35.0),Congenital rubella syndrome*,Syndrome de rubeole congenitale*,,,Diagnosis,N/A,,,,
f62ce5ae-852d-4624-8703-461fb5ae6201,,ICD-10:U04.9,Severe Acute Respiratory Syndrome* (U04.9),Syndrome respiratoire aigu severe* (U04.9),Severe Acute Respiratory Syndrome*,Syndrome respiratoire aigu severe*,,,Diagnosis,N/A,,,,
afa25763-9fdf-4a3f-90b3-585c3fc52792,,ICD-10:A50,Congenital syphilis* (A50),Syphilis congenitale* (A50),Congenital syphilis*,Syphilis congenitale*,,,Diagnosis,N/A,,,,
124957AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A35,Tetanus* (A35),Tetanos* (A35),Tetanus*,Tetanos*,,,Diagnosis,N/A,,,,
124954AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:A33,Neonatal tetanus* (A33),Tetanos neonatal* (A33),Neonatal tetanus*,Tetanos neonatal*,,,Diagnosis,N/A,,,,
90e80d46-fc78-473d-809a-691cc85ed127,,ICD-10:A50.6,Late congenital syphilis* (A50.6),Xerophtalmie* (A50.6),Late congenital syphilis*,Xerophtalmie*,,,Diagnosis,N/A,,,,
