uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
a7ad184c-b79a-476d-9ba2-ef980375da28,,,Fœtus,Fœtus,Fœtus,Fœtus,,,Misc,Text,,,,,,,,,,,
7ce5a9fe-d9e0-427e-a080-ce8a9c673822,,,Fetal heart rate,Rythme cardiaque foetus,Fetal heart rate,Rythme cardiaque foetus,,,Misc,Text,,,,,,,,,,,
c4526510-3f10-11e4-adec-0800271c1b75,,,Cephalic,Céphalique,Cephalic,Céphalique,,,Misc,N/A,,,,,,,,,,,
a0dc5727-c33e-479b-b70e-fb0eb7e45853,,,Seat,Siège,Seat,Siège,,,Misc,N/A,,,,,,,,,,,
5bb2ea3b-a736-4533-bd5e-a1e9d835f721,,,Transversal,Transversale,Transversal,Transversale,,,Misc,N/A,,,,,,,,,,,
cbafba29-b62a-4675-910a-a6bb161de256,,,Variable,Variable,Variable,Variable,,,Misc,N/A,,,,,,,,,,,
d47e2e11-355e-4c62-86a7-8ebe45fb4292,,,Presentation,Presentation,Presentation,Presentation,,,Misc,Coded,,Cephalic;Seat;Transversal;Variable,,,,,,,,,
c7a07f73-f184-4d4c-a2a8-3592634c933c,,,Baby 1,Bébé 1,Baby #1,Bébé #1,,,Misc,N/A,,,,,,,,,,,
9c1d0baf-36e6-49c6-b2f1-8fcdd9fbb0df,,,Baby 2,Bébé 2,Baby #2,Bébé #2,,,Misc,N/A,,,,,,,,,,,
426b6382-df75-497a-8832-329f7a5f277f,,,Baby,Bébé,Baby,Bébé,,,Misc,Coded,,Baby 1;Baby 2,,,,,,,,,
f19b4e41-e18e-4e17-a7ff-48a33315d504,,,Biparietal diameter,Diamètre biparétal,Biparietal diameter,Diamètre biparétal,,,Misc,Numeric,,,,,,,,,,,
b0277458-f1c8-43d7-a18a-996a9f183b65,,,Occ-frontal diameter,Diamètre occ-frontal,Occ-frontal diameter,Diamètre occ-frontal,,,Misc,Numeric,,,,,,,,,,,
96548d58-2335-4f6e-ae8b-c77fd8c6d051,,,Cranial circumference,Circonférence crânienne,Cranial circumference,Circonférence crânienne,,,Misc,Numeric,,,,,,,,,,,
1391f581-6ff8-463d-95f3-cd23af17e65e,,,Femur length,Longueur fémur,Femur length,Longueur fémur,,,Misc,Numeric,,,,,,,,,,,
fe37fd4a-31f1-48a7-adc4-e7833a7c6859,,,Humerus length,Longueur humérus,Humerus length,Longueur humérus,,,Misc,Numeric,,,,,,,,,,,
dd7a5da2-ce47-4eae-8e26-3317fc53f4da,,,Abdominal circumference,Circonference abdominale,Abdominal circumference,Circonference abdominale,,,Misc,Numeric,,,,,,,,,,,
c96709f0-f446-4081-98b1-494b562dd7b4,,,Estimated fetal weight,Poids fœtal estimé,Estimated fetal weight,Poids fœtal estimé,,,Misc,Numeric,,,,,,,,,,,
ca69545b-dfef-4210-b311-dc8a1d309311,,,Anterior,Antérieur,Anterior,Antérieur,,,Misc,N/A,,,,,,,,,,,
1f82cf3c-ce84-4c98-a35a-c37c45edc5fc,,,Posterior,Postérieur,Posterior,Postérieur,,,Misc,N/A,,,,,,,,,,,
cc4c6921-1d06-48f7-a7d8-a0c6664b515e,,,Praevia,Praevia,Praevia,Praevia,,,Misc,N/A,,,,,,,,,,,
f5c721f6-7162-4533-9a83-4a4cd6997cb8,,,Lateral,Lateral,Lateral,Lateral,,,Misc,N/A,,,,,,,,,,,
f4d664f4-e6e5-47f7-8781-2255ebfacc97,,,Placenta,Placenta,Placenta,Placenta,,,Misc,Coded,,Anterior;Posterior;Praevia;Lateral,,,,,,,,,
3ad7806a-d91a-4866-9b1b-f8e8613111fd,,,Amniotic liquid,Liquide amniotique,Amniotic liquid,Liquide amniotique,,,Misc,Text,,,,,,,,,,,
9e071d37-ee01-4785-a756-7e4059ffe736,,,Pregnancy for,Grossesse de,Pregnancy for,Grossesse de,,,Misc,Numeric,,,,,,,,,,,
4d1f668f-f9b7-4e95-8436-53f37e8c643e,,,Other observations,Autres observations,Other observations,Autres observations,,,Misc,Text,,,,,,,,,,,
6a228d2d-87ca-4d84-a774-ebc0e26b55c9,,,Identified complications,Complications identifiées,Identified complications,Complications identifiées,,,Misc,Boolean,,,,,,,,,,,
1fac1715-4e6e-4f87-ad75-d4ecf8bbdbe8,,,"If yes, which ones","Si oui, lesquelles","If yes, which ones","Si oui, lesquelles",,,Misc,Text,,,,,,,,,,,
e8ef8004-2d43-43d9-be1d-f1f7f894f99c,,,Observations,Observations,Observations,Observations,,,Misc,Text,,,,,,,,,,,
02df53f5-8e6a-9353-5a89-61307f283906,,,Echographie Form,Formulaire d’ échographie,Echographie Form,Formulaire d’ échographie,,,ConvSet,N/A,,,"Fœtus;Fetal heart rate;Presentation;Baby;Biparietal diameter;Occ-frontal diameter;Cranial circumference;Femur length;Humerus length;Abdominal circumference;Estimated fetal weight;Placenta;Amniotic liquid;Pregnancy for;Other observations;Identified complications;If yes, which ones;Observations",,,,,,,,
