uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
e0964733-8dc6-9114-8ac0-9eeecc594fe9,,,Tinnitus,Acouphènes,Tinnitus,Acouphènes,,,Misc,N/A,,,,,,,,,,,
829272ff-9d77-17d6-8beb-af8aec0d1ebb,,,Agitation,Agitation,Agitation,Agitation,,,Misc,N/A,,,,,,,,,,,
61e45ce1-6aa8-96da-0b1a-ed6c71177ec9,,,Altered consciousness,Altération de la conscience,Altération de la conscience,Altération de la conscience,,,Misc,N/A,,,,,,,,,,,
dd77a81b-3111-9552-4bf5-323d540f9521,,,Amenorrhea,Aménorrhée,Aménorrhée,Aménorrhée,,,Misc,N/A,,,,,,,,,,,
6bb45810-97f3-7f12-849d-8452cda34625,,,Anorexia,Anorexie,Anorexie,Anorexie,,,Misc,N/A,,,,,,,,,,,
f92dc55d-9acf-81fc-8ad8-27457d631bd0,,,Aphasia,Aphasie,Aphasie,Aphasie,,,Misc,N/A,,,,,,,,,,,
4b8d9dd6-614b-3de5-7894-26e2d35d3803,,,Arthralgia,Arthralgie,Arthralgie,Arthralgie,,,Misc,N/A,,,,,,,,,,,
a5f3b8bd-467a-1611-54f3-a62607fa4c8b,,,Asthenia,Asthénie,Asthénie,Asthénie,,,Misc,N/A,,,,,,,,,,,
1d186723-6753-a3f1-4b4f-9a2d08880c07,,,Checkup,Bilan de santé,Bilan de santé,Bilan de santé,,,Misc,N/A,,,,,,,,,,,
ba2b3fed-0ec0-0b69-4c2f-a0334be91263,,,Voiding burns,Brûlures mictionnelles,Brûlures mictionnelles,Brûlures mictionnelles,,,Misc,N/A,,,,,,,,,,,
7b3101f9-1bd5-7555-8e2e-457c80098072,,,Headache,Céphalée,Céphalée,Céphalée,,,Misc,N/A,,,,,,,,,,,
6195411e-0637-099e-1b83-39b706ee3423,,,Constipation,Constipation,Constipation,Constipation,,,Misc,N/A,,,,,,,,,,,
b7bc63dd-6ccf-819f-9f8d-581c38202798,,,Convulsions,Convulsions,Convulsions,Convulsions,,,Misc,N/A,,,,,,,,,,,
9048b973-81f4-34c6-4c34-4b30ef6f4687,,,Delirium,Délire,Délire,Délire,,,Misc,N/A,,,,,,,,,,,
009c22a6-6b57-2a5e-4665-288454be6909,,,Aqous diarrhea,Diarrhée aqeuse,Diarrhée aqeuse,Diarrhée aqeuse,,,Misc,N/A,,,,,,,,,,,
ea7831b3-9adf-3da2-979f-e1e760b88e65,,,Bloody diarrhea,Diarrhée sanglante,Diarrhée sanglante,Diarrhée sanglante,,,Misc,N/A,,,,,,,,,,,
cfb39328-4103-1232-21c8-7cfd8e11085c,,,Pain,Douleur,Douleur,Douleur,,,Misc,N/A,,,,,,,,,,,
7722f2ce-a424-5a35-49c7-25acb44558da,,,Abdominal pain,Douleur abdominal,Douleur abdominal,Douleur abdominal,,,Misc,N/A,,,,,,,,,,,
64870c62-4df2-7b8f-7426-308358761215,,,Epigastric pain,Douleur épigastrique,Douleur épigastrique,Douleur épigastrique,,,Misc,N/A,,,,,,,,,,,
774c1b5c-3916-093d-9b21-778346c9617d,,,Hypogastric pain,Douleur hypogastrique,Douleur hypogastrique,Douleur hypogastrique,,,Misc,N/A,,,,,,,,,,,
30cc2f8e-026e-7b24-504d-447abfdd752d,,,Chest pain,Douleur thoracique,Douleur thoracique,Douleur thoracique,,,Misc,N/A,,,,,,,,,,,
94fdaf3b-0325-7325-276e-75b7d2e40ab6,,,Dyspepsia,Dyspepsie,Dyspepsie,Dyspepsie,,,Misc,N/A,,,,,,,,,,,
be37a483-804a-4999-5d15-076ae59b0735,,,Dysphagia,Dysphagie,Dysphagie,Dysphagie,,,Misc,N/A,,,,,,,,,,,
3dbcd237-6bb2-1237-840f-5ec705e63122,,,Dyspnea,Dyspnée,Dyspnée,Dyspnée,,,Misc,N/A,,,,,,,,,,,
d3a1d2a9-9281-24bc-7bf7-1d11d10c4226,,,Dysuria,Dysurie,Dysurie,Dysurie,,,Misc,N/A,,,,,,,,,,,
59437118-0d3a-49fc-1612-195787f0065d,,,Discharge from the eyes,Écoulement des yeux,Écoulement des yeux,Écoulement des yeux,,,Misc,N/A,,,,,,,,,,,
